tree-sitter-markdown 0.5.1-1
tree-sitter-query 0.7.0-1
tree-sitter-vim 0.7.0-1
tree-sitter-vimdoc 4.0.0-1
tzdata 2025c-1
unibilium 2.1.2-1
unzip 6.0-23
util-linux 2.41.3-2
util-linux-libs 2.41.3-2
uv 0.9.26-1
vulkan-icd-loader 1.4.335.0-1
vulkan-intel 1:25.3.3-3
vulkan-mesa-implicit-layers 1:25.3.3-3
wayland 1.24.0-1
webrtc-audio-processing-1 1.3-5
which 2.23-1
windsurf 1.13.9-1
wireplumber 0.5.13-1
xcb-proto 1.17.0-4
xcb-util 0.4.1-2
xcb-util-cursor 0.1.6-1
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xcb-util-xrm 1.3-4
xclip 0.13-6
xdg-utils 1.2.1-2
xdotool 3.20211022.1-2
xf86-input-libinput 1.5.0-1
xh 0.25.3-1
xkeyboard-config 2.46-1
xorg-fonts-encodings 1.1.0-1
xorg-server 21.1.21-1
xorg-server-common 21.1.21-1
xorg-setxkbmap 1.3.4-2
xorg-xauth 1.1.5-1
xorg-xinit 1.4.4-1
xorg-xkbcomp 1.5.0-1
xorg-xmodmap 1.0.11-2
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.3-1
xorg-xrdb 1.2.2-2
xorg-xsetroot 1.1.3-2
xorg-xwininfo 1.1.6-2
xorgproto 2025.1-1
xxhash 0.8.3-1
xz 5.8.2-1
yajl 2.1.0-6
yay-bin 12.5.7-1
yay-bin-debug 12.5.7-1
yp-tools 4.2.3-6
yp-tools-debug 4.2.3-6
zix 0.8.0-1
zlib 1:1.3.1-2
zlib-ng 2.3.2-1
zstd 1.5.7-2
